time (s)	det(V)
8381.106758	-0.261740	
8381.108757	-0.264158	
8381.110757	-0.267911	
8381.112756	-0.270532	
8381.114758	-0.273358	
8381.118756	-0.276520	
8381.122756	-0.281325	
8381.124757	-0.285663	
8381.126757	-0.287761	
8381.128757	-0.289053	
8381.130757	-0.291625	
8381.134756	-0.292835	
8381.136757	-0.296297	
8381.138757	-0.297413	
8381.142756	-0.298622	
8381.144757	-0.299570	
8381.146757	-0.299920	
8381.148757	-0.300218	
8381.150757	-0.300307	
8381.152756	-0.298984	
8381.154760	-0.299805	
8381.158757	-0.299126	
8381.160757	-0.297571	
8381.162757	-0.295536	
8381.164757	-0.294025	
8381.166757	-0.291332	
8381.168757	-0.289881	
8381.170757	-0.287757	
8381.172756	-0.285204	
8381.174760	-0.283251	
8381.178759	-0.281408	
8381.180759	-0.275673	
8381.182759	-0.272451	
8381.184759	-0.268388	
8381.186759	-0.265036	
8381.188759	-0.262600	
8381.190759	-0.258883	
8381.194758	-0.255078	
8381.196759	-0.248448	
8381.198759	-0.245544	
8381.202763	-0.241327	
8381.204759	-0.231910	
8381.206757	-0.227792	
8381.208759	-0.224249	
8381.210758	-0.221596	
8381.214757	-0.216587	
8381.216759	-0.209440	
8381.218759	-0.205916	
8381.222759	-0.202313	
8381.224759	-0.193225	
8381.226761	-0.190383	
8381.228759	-0.187102	
8381.230761	-0.184030	
8381.234757	-0.179845	
8381.236759	-0.173382	
8381.238759	-0.170144	
8381.240759	-0.166860	
8381.242760	-0.163443	
8381.244760	-0.159389	
8381.246759	-0.155232	
8381.248759	-0.152716	
8381.250759	-0.149364	
8381.254758	-0.144788	
8381.258756	-0.137956	
8381.260759	-0.131986	
8381.262759	-0.126857	
8381.264758	-0.122396	
8381.266760	-0.117488	
8381.268759	-0.112686	
8381.272757	-0.108678	
8381.274759	-0.099787	
8381.276757	-0.095395	
8381.280758	-0.090290	
8381.282760	-0.079654	
8381.284760	-0.072703	
8381.286759	-0.067969	
8381.288759	-0.062233	
8381.290759	-0.056407	
8381.292758	-0.051864	
8381.296759	-0.046678	
8381.298759	-0.034777	
8381.300761	-0.027792	
8381.302763	-0.020848	
8381.304763	-0.014390	
8381.306759	-0.008314	
8381.308759	-0.002227	
8381.310759	0.003773	
8381.312759	0.009430	
8381.316758	0.015590	
8381.318759	0.030400	
8381.320759	0.036397	
8381.322759	0.041683	
8381.324758	0.048367	
8381.326759	0.053608	
8381.328760	0.060422	
8381.332757	0.067131	
8381.334759	0.076844	
8381.336759	0.082597	
8381.338759	0.087945	
8381.340764	0.094516	
8381.342773	0.099311	
8381.344773	0.104469	
8381.346773	0.108959	
8381.348775	0.114157	
8381.352773	0.119445	
8381.356772	0.126911	
