num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
5291	5796.486403	31.221506	10.826700	2.380060	2.275421
5293	5798.574124	32.933017	11.639445	2.366740	1.736086
5295	5800.642150	32.077346	8.507319	2.376279	1.930153
5297	5802.769542	34.329955	10.685829	2.321329	1.770095
5299	5804.862910	33.991697	11.047956	2.396853	1.783691
5301	5806.943479	33.589229	11.081646	2.380075	1.934664
5303	5809.042604	35.397637	10.572580	2.349868	1.568239
5305	5811.133998	32.939715	10.675879	2.398307	1.929161
5307	5813.222868	34.015867	11.742301	2.368249	0.665701
5309	5815.302761	36.742699	10.169780	2.351717	1.635318
5311	5817.378137	35.605471	9.663902	2.357052	2.752419
5313	5819.506623	33.669376	10.500578	2.433057	2.213930
5315	5821.575351	36.032214	9.812864	2.373580	1.544064
5317	5823.667754	33.213939	11.539650	2.408049	2.797467
5319	5825.764333	37.920548	10.442930	2.439811	2.477458
5321	5827.848131	34.206180	10.687532	2.364537	2.377023
5323	5829.944383	37.131719	8.994647	2.374295	2.709347
5325	5832.046165	35.480944	11.885508	2.410131	1.389628
5327	5834.120653	36.464609	10.278806	2.337388	1.742188
5329	5836.229045	38.410968	9.979380	2.357775	2.361586
5331	5838.313352	39.129792	9.206945	2.361576	1.953708
5333	5840.386887	37.267689	9.172521	2.348590	3.035777
5335	5842.518244	37.097455	10.520660	2.496812	3.080531
5337	5844.575726	38.274439	9.154350	2.353389	2.356535
5339	5846.657627	37.845156	8.891413	2.366108	2.643948
5341	5848.776208	38.334154	9.900053	2.405367	3.079535
5343	5850.878969	39.114688	10.779319	2.504211	2.876330
5345	5852.967978	39.993009	8.961586	2.356922	3.014906
5347	5855.056727	40.571132	8.921771	2.353540	2.202687
5349	5857.145324	40.594210	8.913734	2.357924	2.536023
5351	5859.227304	39.186789	8.784644	2.369115	1.921767
5353	5861.303103	39.017921	8.357800	2.367119	2.234552
5355	5863.387721	40.770718	8.914934	2.385563	2.757110
5357	5865.496303	38.283808	8.069433	2.380601	2.789784
5359	5867.597836	40.358632	8.596538	2.411624	2.101098
5361	5869.662669	39.540174	6.739216	2.406157	2.215819
5363	5871.758128	40.579143	8.268054	2.378940	2.848568
5365	5873.865438	40.487524	8.596149	2.370692	2.617506
5367	5875.923114	41.466357	9.103708	2.386168	3.156905
5369	5878.040922	38.826574	11.224273	2.384939	3.258211
5371	5880.133638	43.413538	9.069080	2.416290	2.829417
5373	5882.204587	39.687604	7.606788	2.397086	2.761759
5375	5884.310274	39.746878	7.518831	2.377786	3.147974
5377	5886.408726	41.428319	8.115287	2.382112	2.543023
5379	5888.492949	41.427950	7.799122	2.393765	3.083501
5381	5890.573126	42.662149	8.238408	2.389133	2.923441
5383	5892.676283	40.661463	7.429732	2.391400	2.985516
5385	5894.778168	43.210268	8.060259	2.369090	3.158666
5387	5896.872241	42.126406	7.032185	2.396206	2.376081
5389	5898.966792	43.621992	8.068007	2.372037	2.264962
5391	5901.056590	42.775172	6.936449	2.405714	2.805792
5393	5903.140572	44.845124	7.930531	2.375451	2.947623
5395	5905.223025	42.521073	7.267857	2.392242	3.752588
5397	5907.302663	41.793280	7.614091	2.384033	2.139509
5399	5909.398665	41.471092	7.303444	2.391111	2.952080
5401	5911.515415	41.310134	9.605821	2.473444	3.404172
5403	5913.593569	43.406094	10.459612	2.495215	3.520426
5405	5915.660853	42.733662	7.719559	2.384937	2.766412
5407	5917.761251	41.713207	7.916812	2.412408	3.547448
5409	5919.874457	46.393647	9.458584	2.600537	3.524503
